Part Name,On Board Designation,Part Number (Digikey),Link,Price,Quantity Req
TL494,U1,296-10194-5-ND,https://www.digikey.com/product-detail/en/texas-instruments/TL494IN/296-10194-5-ND/380463,$0.65,1
IPP052NE7N3,Q1,IPP052NE7N3GXKSA1-ND,https://www.digikey.com/product-detail/en/infineon-technologies/IPP052NE7N3GXKSA1/IPP052NE7N3GXKSA1-ND/2270488,$2.07,1
MBR735,D1,MBR735GOS-ND,https://www.digikey.com/product-detail/en/on-semiconductor/MBR735G/MBR735GOS-ND/918601,$0.65,1
4K Trimpot (not required),RV1,3352T-502LF-ND,https://www.digikey.com/products/en?mpart=3352T-1-502LF&v=118,$1.85,1
0.1 Through-Hole Resistor (not required),R4,N/A,N/A,$0.00,1
20-60 Through-Hole Resistor,R3,N/A,N/A,$0.00,1
1K Through-Hole Resistor,R2,N/A,N/A,$0.00,1
10K Through-Hole Resistor,"R1,R5",N/A,N/A,$0.00,2
50K Through-Hole Resistor,R6,N/A,N/A,$0.00,1
0.1uF Capacitor (Ceramic),"C1,C2",N/A,N/A,$0.00,2
Jumpers (Various Lengths),"JP1,JP2,J1,J2,J3",N/A,N/A,$0.00,5
